镜号,场次,景别,角度,运镜,画面描述,动作,时长,音效,音乐,字幕,AI视频提示词,负面提示词,首帧提示词,尾帧提示词,角色参考图提示词,场景参考图提示词,备注
11,场6 外 树洞外 日,中景,平视,固定,聪聪抱越桔回来，发现树洞里有四只小麻雀冲他叫,聪聪惊讶,4s,麻雀叫,轻快转紧张,无,2D手绘动画，聪聪抱越桔站在树洞外，四只小麻雀在树洞里叫，聪聪惊讶,通用负面,聪聪抱越桔,麻雀出现,聪聪=灰色松鼠,手绘树洞外,麻雀
12,场6 外 树洞外 日,近景,平视,快速拉远,聪聪吓得越桔掉地上，赶紧跑,越桔掉落、逃跑,4s,越桔落地、跑步声,紧张轻快,无,2D手绘动画，聪聪受惊，越桔掉落，转身逃跑，小麻雀叽叽喳喳,通用负面,越桔掉落,聪聪跑远,聪聪=灰色松鼠,手绘树洞外,逃跑
13,场7 外 森林 日,全景,平视,跟拍,聪聪跑到另一棵树旁，打更大的树洞,啃出大树洞,5s,啃木声,轻快森林主题,无,2D手绘动画，聪聪跑到另一棵树，用大板牙啃出更大树洞，木屑飞舞,通用负面,另一棵树,大树洞出现,聪聪=灰色松鼠,手绘森林大树,新家
14,场7 外 森林 日,中景,平视,横移,聪聪铺地毯，采桑葚、越桔、悬钩子，搬回洞里,铺地毯、采果,5s,搬运声,轻快森林主题,无,2D手绘动画，聪聪铺木屑地毯，采集桑葚越桔悬钩子搬回树洞,通用负面,树洞内部,果实堆放,聪聪=灰色松鼠,手绘树洞内部,搬家
15,场8 内 树洞 日,特写,俯视,推近,聪聪用牙齿雕刻木头，制作橡子、榛子、松子、云杉子,雕刻木坚果,5s,雕刻声,温暖轻快,无,2D手绘动画，树洞内聪聪雕刻木坚果，木屑飘落，安静温馨,通用负面,木块,木坚果,聪聪=灰色松鼠,手绘树洞内部,雕刻
16,场8 内 树洞 日,全景,平视,缓慢拉远,树洞里又摆好聪聪雕刻的木制作品,陈列展示,4s,安静,温暖轻快,无,2D手绘动画，树洞内陈列木雕坚果，整齐可爱,通用负面,树洞陈列,全景,聪聪=灰色松鼠,手绘树洞内部,陈列
17,场9 内 树洞 暮,中景,平视,固定,太阳落下，树洞内变暗,光线变暗,3s,安静,温暖安静,无,2D手绘动画，树洞暮色，光线渐暗，安静,通用负面,暮色树洞,渐暗,聪聪=灰色松鼠,手绘树洞内部,暮色
18,场10 内 树洞 夜,中景,平视,固定,树洞黑夜，聪聪睡觉,聪聪睡觉,4s,夜虫、呼吸声,温暖安静,无,2D手绘动画，树洞夜晚，聪聪蜷缩睡觉，月光微弱,通用负面,夜晚树洞,聪聪睡姿,聪聪=灰色松鼠,手绘树洞夜晚,夜
19,场11 内 树洞 晨,中景,平视,缓慢推近,太阳升起，树洞内变亮，聪聪睡醒起床,起床伸懒腰,4s,鸟鸣,清晨温暖,无,2D手绘动画，树洞晨光，聪聪睡醒，伸懒腰起床，温暖,通用负面,晨光树洞,聪聪站起,聪聪=灰色松鼠,手绘树洞清晨,晨
20,场12 内 树洞 日,特写,俯视,固定,聪聪继续用牙齿雕刻木头，制作木坚果,雕刻木坚果,4s,雕刻声,温暖轻快,无,2D手绘动画，聪聪专注雕刻木坚果，树洞内明亮,通用负面,木块,木坚果,聪聪=灰色松鼠,手绘树洞内部,雕刻
21,场13 外 森林 春 日,全景,平视,固定,森林春天景色,春景,3s,鸟鸣、溪流,春之主题,无,2D手绘动画，森林春天，新芽花开，阳光柔和，童话感,通用负面,春天森林,春景,无,手绘森林春天,四季
22,场14 外 森林 夏 日,全景,平视,固定,森林夏天景色,夏景,3s,蝉鸣,夏之主题,无,2D手绘动画，森林夏天，绿树成荫，阳光明亮,通用负面,夏天森林,夏景,无,手绘森林夏天,四季
23,场15 外 森林 秋 日,全景,平视,固定,森林秋天景色,秋景,3s,落叶声,秋之主题,无,2D手绘动画，森林秋天，黄叶红叶飘落，温暖,通用负面,秋天森林,秋景,无,手绘森林秋天,四季
24,场16 外 森林 冬 日,全景,平视,固定,森林冬天景色,冬景,3s,风雪声,冬之主题,无,2D手绘动画，森林冬天，白雪覆盖，安静,通用负面,冬天森林,冬景,无,手绘森林冬天,四季
25,场17 外 森林 春 日,全景,平视,固定,森林春天景色，时间流逝,春景再现,3s,鸟鸣,春之主题,无,2D手绘动画，森林春天，新芽花开，同一机位，时间流逝,通用负面,春天森林,春景,无,手绘森林春天,四季轮回
26,场18 外 森林 日,中景,平视,跟拍,聪聪出去找吃的，在树枝上奔跑跳跃,聪聪奔跑跳跃,4s,树叶声、脚步声,轻快森林主题,无,2D手绘动画，聪聪在树枝上奔跑跳跃找食物，森林日光,通用负面,树枝奔跑,聪聪跳跃,聪聪=灰色松鼠,手绘森林树枝,找食
27,场18 外 森林 日,中景,平视,横移,聪聪发现旁边有一只红色松鼠路路也跟着奔跑跳跃,路路出现,4s,轻快音乐,轻快森林主题,无,2D手绘动画，红色松鼠路路出现，跟随聪聪奔跑跳跃，温暖童话,通用负面,路路出现,两松鼠同框,路路=红色松鼠，雌性，大眼，尖耳，耳朵上稍许耳毛，白色腹部，极其蓬松大尾巴，可爱微笑,手绘森林树枝,路路登场
28,场18 外 森林 日,近景,平视,缓慢推近,聪聪停下，路路也停下，对视，路路微笑，一起跑走，聪聪嘴角轻轻上扬,对视、微笑、跑走,5s,轻快温暖,温暖治愈,无,2D手绘动画，聪聪与路路对视，路路微笑，一起跑走，聪聪嘴角上扬，温暖治愈,通用负面,两松鼠对视,一起跑远,聪聪=灰色松鼠；路路=红色松鼠,手绘森林,情感
29,场19 外 树洞外 日,中景,平视,固定,聪聪从外面找吃的回来，站在树洞外，发现树洞里有一只老鹰,聪聪惊讶,4s,紧张弦乐,紧张,无,2D手绘动画，聪聪站在树洞外，发现树洞里有一只老鹰，惊讶紧张,通用负面,聪聪站树洞外,老鹰出现,聪聪=灰色松鼠,手绘树洞外,老鹰
30,场19 外 树洞外 日,近景,平视,快速拉远,聪聪被吓到，赶紧跑走,逃跑,3s,跑步声,紧张,无,2D手绘动画，聪聪被老鹰吓到，转身逃跑，紧张但儿童友好,通用负面,聪聪转身,跑远,聪聪=灰色松鼠,手绘森林,逃跑
31,场20 外 森林 日,全景,平视,跟拍,聪聪跑呀跑，发现一棵很粗的树,发现大树,4s,跑步声、风声,轻快转希望,无,2D手绘动画，聪聪奔跑，发现一棵很粗的大树，停下观察,通用负面,大树全景,聪聪停下,聪聪=灰色松鼠,手绘森林大树,新家
32,场20 外 森林 日,中景,平视,横移,聪聪打树洞，铺地毯，采桑葚、越桔、悬钩子，搬回树洞,建家、采果,6s,啃木、搬运,轻快森林主题,无,2D手绘动画，聪聪啃出大树洞，铺木屑地毯，采集果实搬回树洞,通用负面,树洞内部,果实堆放,聪聪=灰色松鼠,手绘树洞内部,重建
33,场21 内 树洞 日,特写,俯视,推近,聪聪再次用牙齿雕刻木头，制作木坚果,雕刻,4s,雕刻声,温暖轻快,无,2D手绘动画，聪聪在树洞内雕刻木坚果，专注可爱,通用负面,木块,木坚果,聪聪=灰色松鼠,手绘树洞内部,雕刻
34,场21 内 树洞 日,全景,平视,缓慢拉远,树洞里再次摆好聪聪雕刻的木制作品,陈列,4s,安静,温暖轻快,无,2D手绘动画，树洞陈列木雕橡子榛子松子云杉子，温馨,通用负面,树洞陈列,全景,聪聪=灰色松鼠,手绘树洞内部,陈列
35,场22 内 树洞 夜,远景,仰视,固定,大雨，天上降下雷，劈中聪聪住的大树,雷电劈树,5s,雷声、雨声,紧张,无,2D手绘动画，夜晚大雨，雷电劈中大树，树洞震动，紧张但儿童友好,通用负面,雷电大树,树洞震动,聪聪=灰色松鼠,手绘雨夜森林,危机
36,场22 内 树洞 夜,中景,平视,推近,聪聪在树洞里被劈伤，脚上有烧焦痕迹，尝试离开却动不了,受伤挣扎,5s,雷声渐远,悲伤紧张,无,2D手绘动画，聪聪受伤，脚部烧焦痕迹，尝试移动但动不了，不血腥，儿童友好,通用负面,聪聪倒下,脚部受伤,聪聪=灰色松鼠,手绘树洞内部,受伤
37,场22 内 树洞 夜,中景,平视,缓慢推近,门口传来窸窣声，路路从树洞里钻进来,路路进入,4s,窸窣声,希望温暖,无,2D手绘动画，树洞门口窸窣声，红色松鼠路路钻进来，温暖希望,通用负面,树洞门口,路路进入,路路=红色松鼠,手绘树洞内部,救援
38,场23 外 森林 夜,中景,平视,跟拍,路路背着聪聪从树洞里出来，在树枝上奔跑跳跃,路路背聪聪,5s,奔跑声、夜风,温暖治愈,无,2D手绘动画，路路背着聪聪从树洞出来，在树枝上奔跑跳跃，温暖慢镜头,通用负面,路路背聪聪,树枝跳跃,聪聪=灰色松鼠；路路=红色松鼠,手绘夜晚森林,救援
39,场23 外 森林 夜,远景,平视,缓慢拉远,一起消失在森林深处，画面逐渐黑下来,消失、渐黑,4s,音乐渐弱,温暖治愈,无,2D手绘动画，路路背着聪聪消失在森林深处，画面渐黑，温暖治愈,通用负面,两松鼠远景,画面黑,聪聪=灰色松鼠；路路=红色松鼠,手绘夜晚森林,结尾
40,场23 外 森林 夜,字幕,平视,淡入,出字幕：故事 刘执 / 编剧 刘剑威 / 导演 刘剑威,字幕淡入,4s,音乐收尾,温暖治愈,故事 刘执 编剧 刘剑威 导演 刘剑威,黑底白字手绘字幕，故事 刘执，编剧 刘剑威，导演 刘剑威，简洁温暖,通用负面,黑底,字幕完整,无,无,片尾字幕
